id,name_ar,zone,zone_normalized,address_ar,lat,lng,type,status,last_verified_at,disclaimer,auto_scraped,needs_review,scraped_source
MD-001,مستشفى الجامعة الأمريكية,بيروت,beirut,شارع رياض الصلح - رأس بيروت,33.9010,35.4785,hospital,operational,2024-03-15 10:00:00,,FALSE,FALSE,
MD-002,مستشفى الحمرا الجامعي,الحمرا,hamra,شارع الحمرا - مقابل جامعة بيروت العربية,33.8941,35.4792,hospital,limited,2024-03-15 09:30:00,طاقة استيعابية محدودة - الطوارئ فقط,FALSE,FALSE,
MD-003,مستشفى بيروت الحكومي,بيروت,beirut,شارع السبع - بربور,33.8710,35.5005,hospital,operational,2024-03-15 08:00:00,,FALSE,FALSE,
MD-004,مستوصف الصليب الأحمر,الحمرا,hamra,شارع بلس - قرب الجامعة الأمريكية,33.8998,35.4781,clinic,operational,2024-03-15 09:00:00,,FALSE,FALSE,
MD-005,مستشفى صيدا الحكومي,صيدا,saida,شارع الكورنيش - صيدا البحرية,33.5601,35.3692,hospital,operational,2024-03-15 07:30:00,,FALSE,FALSE,
MD-006,مستشفى صور الحكومي,صور,tyre,شارع أبو دهر - المدينة القديمة,33.2709,35.1938,hospital,limited,2024-03-15 08:45:00,يعمل بطاقة 60% فقط - يقبل الحالات الحرجة,FALSE,FALSE,
MD-007,مستشفى طرابلس الحكومي,طرابلس,tripoli,شارع الميناء الرئيسي - طرابلس,34.4336,35.8393,hospital,operational,2024-03-15 09:15:00,,FALSE,FALSE,
MD-008,مستشفى النبطية الحكومي,النبطية,nabatiye,وسط مدينة النبطية,33.3780,35.4848,hospital,limited,2024-03-15 07:00:00,يعمل بمولّد - الكهرباء منقطعة,FALSE,FALSE,
MD-009,مستشفى بنت جبيل الحكومي,بنت جبيل,bint_jbeil,شارع القدس - وسط المدينة,33.1190,35.4320,hospital,closed,2024-03-15 06:00:00,المستشفى أُخلي بسبب الأضرار الهيكلية,FALSE,FALSE,
MD-010,وحدة إسعاف الميدان,بنت جبيل,bint_jbeil,مدخل بنت جبيل الشمالي - قرب دوار الشهداء,33.1221,35.4359,field_unit,operational,2024-03-15 09:45:00,وحدة ميدانية مؤقتة من الصليب الأحمر,FALSE,FALSE,
MD-011,صيدلية أبو خليل,الحمرا,hamra,شارع الحمرا 142 - بناية الزين,33.8945,35.4800,pharmacy,operational,2024-03-15 10:30:00,,FALSE,FALSE,
MD-012,مستشفى زحلة الحكومي,زحلة,zahle,شارع الوادي - زحلة التحتا,33.8500,35.8982,hospital,operational,2024-03-15 08:30:00,,FALSE,FALSE,
MD-013,مستشفى بعلبك الحكومي,بعلبك,baalbek,شارع الاستقلال - بعلبك,34.0050,36.2098,hospital,limited,2024-03-15 07:15:00,نقص في المستلزمات الطبية,TRUE,FALSE,https://api.reliefweb.int/v1/reports/789012
MD-014,مركز الكاريتاس الطبي,الضاحية,dahiye,شارع الغبيري - مقابل المسجد الكبير,33.8620,35.4971,clinic,closed,2024-03-15 05:00:00,أُغلق بسبب الأضرار - يُعاد التقييم,TRUE,TRUE,https://t.me/c/111222/333
